Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.1,,,56.83,22.78,51.49,45.06,4.41M,4.8M,718.37M,717.76M,0.27%,93.50%,8.45M,1.87,1.35%,1.18%,8.73M,1.04,1.86%,1.04,1.87%,2.75,96.30%,"Jan 14, 2021","Dec 17, 2020",955:1000,"Sep 05, 2016","Sep 29, 2020","Dec 30, 2020",4.18%,9.76%,3.21%,4.97%,22.08B,29.87,-4.20%,7.41B,2.98B,799M,1.24,183.60%,1.84B,2.55,9.23B,49.04,1.18,24.51,2.38B,2.34B,JCI,5852,,,,,,,,,,
0.8,,,83.4,44.68,75.06,75.84,911.85k,508.99k,309.49M,346.5M,2.50%,50.47%,3.67M,4.1,1.21%,0.77%,4.53M,0.72,0.95%,0.70,0.91%,1.22,36.31%,"Mar 31, 2021","Mar 04, 2021",5:4,"Feb 28, 2018","Apr 29, 2020","Oct 30, 2020",27.58%,32.67%,11.48%,42.49%,3.35B,7.00,-0.40%,2.13B,1.17B,923M,1.92,-14.90%,964M,2.01,2.67B,110.99,3.73,5.02,820M,644.12M,BF-B,5854,,,,,,,,,,
0.43,,,363.92,223.25,268.99,267.63,1.3M,1.15M,153.88M,151.3M,0.63%,87.89%,3.67M,2.72,2.42%,2.41%,3.73M,,,,,,0.00%,,,3:1,"Jan 17, 2001","Dec 30, 2020","Dec 30, 2020",29.76%,34.63%,11.22%,33.80%,13.44B,83.56,-22.30%,11.64B,5.11B,4B,24.80,-75.10%,2.61B,17.13,7.91B,74.03,1.84,70.21,4.23B,2.88B,BIIB,5869,,,,,,,,,,
1.01,,,133.43,61.04,122.61,110.55,730.33k,1.07M,191.57M,142.5M,21.66%,52.03%,1.65M,2.7,1.10%,0.86%,1.59M,2.68,2.10%,2.44,1.91%,3.27,46.42%,"Mar 30, 2021","Mar 11, 2021",2:1,"Aug 15, 2006","Dec 25, 2020","Dec 25, 2020",23.70%,25.18%,9.98%,19.25%,4.19B,21.91,22.60%,2.48B,1.18B,992.32M,5.17,-7.60%,1.85B,9.64,94.83M,1.72,3.15,28.79,1.14B,633.76M,GRMN,5874,,,,,,,,,,
0.77,,,179.79,109.22,168.75,166.58,891.48k,788.61k,136.69M,134.98M,1.07%,96.33%,5.89M,5.29,5.06%,4.31%,1.82M,4.36,2.62%,4.24,2.52%,2.78,70.55%,"Jan 14, 2021","Dec 29, 2020",1:1,"Apr 23, 2006","Dec 30, 2020","Dec 30, 2020",40.55%,28.39%,1.64%,7.01%,1.9B,15.08,13.20%,1.37B,1.18B,760.79M,6.01,118.10%,568.53M,4.16,7.91B,58.83,3.16,85.78,882.51M,941.88M,ARE,5879,,,,,,,,,,
0.77,,,125.76,85.34,114.18,114.87,1.59M,2.13M,422.61M,422.06M,0.15%,79.22%,3.36M,1.96,0.80%,0.80%,3.59M,2.3,2.06%,2.18,1.92%,2.08,61.93%,"Dec 17, 2020","Dec 02, 2020",,,"Dec 30, 2020","Dec 30, 2020",9.83%,17.24%,5.75%,20.60%,15.22B,35.98,5.70%,5.88B,4.3B,1.5B,3.52,-2.00%,553M,1.31,13.81B,185.27,1.00,17.62,3.4B,1.23B,WM,5882,,,,,,,,,,
0.74,,,84.2,53.08,78.63,74.4,1.76M,3.32M,306.59M,305.9M,0.14%,87.24%,13.54M,8.91,4.96%,4.42%,13.22M,0.88,1.21%,0.76,1.05%,,30.16%,"Jan 11, 2021","Dec 23, 2020",2:1,"Jun 30, 2013","Dec 30, 2020","Dec 30, 2020",14.17%,15.76%,7.52%,17.73%,5.51B,17.95,-3.30%,4.57B,1.56B,780.09M,2.52,-8.30%,1.06B,3.45,1.49B,33.33,2.27,14.63,1.44B,925.8M,CERN,5900,,,,,,,,,,
0.25,,,102.3,65.14,80.38,83.49,2.96M,2.64M,496.39M,495.81M,0.01%,76.78%,6.54M,2.04,1.32%,1.32%,7.95M,2.96,3.74%,2.80,3.48%,3.30,72.54%,"Mar 09, 2021","Feb 08, 2021",,,"Dec 30, 2019","Sep 29, 2020",12.85%,20.02%,2.45%,9.41%,14.92B,30.14,-5.80%,6.5B,5.4B,1.92B,3.86,2.10%,618.7M,1.25,33.39B,161.82,0.48,41.03,3.84B,-2.78B,AEP,5905,,,,,,,,,,
0.66,,,104.53,50.51,94.78,84.6,6.23M,4.01M,772.86M,764.27M,1.22%,89.98%,8.15M,1.4,1.07%,1.05%,10.57M,0.47,0.47%,0.47,0.46%,0.59,14.54%,"May 05, 2021","Apr 13, 2021",2:1,"Sep 07, 2008","Dec 30, 2020","Dec 30, 2020",27.17%,34.97%,8.23%,15.78%,8.09B,10.49,21.50%,5.83B,3.02B,2.2B,2.82,-3.20%,8.65B,11.19,3.6B,23.97,3.41,19.45,2.25B,2.06B,ATVI,5917,,,,,,,,,,
0.83,,,27.83,15.2,24.62,23.05,4.65M,5.52M,329.74M,324.06M,1.25%,96.26%,23.36M,4.11,9.84%,7.08%,24.28M,0.8,3.34%,0.80,3.33%,2.34,103.90%,"Mar 21, 2021","Feb 25, 2021",2:1,"Jun 15, 2000","Dec 30, 2020","Dec 30, 2020",5.80%,10.03%,3.06%,5.63%,4.45B,13.45,1.20%,2.57B,652.5M,257.8M,0.77,-81.70%,1.78B,5.44,2.34B,51.50,1.51,13.86,612M,438.24M,JNPR,5920,,,,,,,,,,
1.4,,,63.42,27.64,37.66,36.44,2.51M,2.78M,191.36M,178.25M,8.22%,84.61%,16.33M,6.16,11.12%,8.54%,15.73M,2.12,5.69%,2.38,6.58%,4.00,,"Feb 11, 2021","Jan 28, 2021",1237:1000,"Jul 17, 2017","Dec 30, 2020","Dec 30, 2020",-18.42%,16.95%,0.99%,-5.86%,1.61B,8.43,-17.10%,832.37M,655.9M,-348.84M,-1.83,,1.62B,8.49,7.92B,104.79,5.81,27.96,424.24M,419.27M,VNO,5948,,,,,,,,,,
