Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.24,,,156.27,70.0,149.22,135.06,1.28M,932.87k,238.43M,237.47M,0.42%,85.12%,2.13M,1.62,0.89%,0.89%,1.96M,2.36,1.53%,,,1.83,52.74%,"Mar 30, 2021","Mar 03, 2021",1289:1000,"Mar 01, 2020","Dec 30, 2020","Dec 30, 2020",6.86%,12.80%,5.16%,14.43%,12.45B,51.87,-0.10%,3.83B,1.84B,977.2M,,-17.40%,3.29B,13.8,5.69B,88.49,1.59,,1.44B,4.42B,TT,9426,,,,,,,,,,
1.59,,,26.99,5.26,21.91,19.79,8.49M,5.72M,374.03M,267.98M,44.15%,58.02%,15.58M,1.92,7.96%,4.17%,16.81M,,,0.49,2.09%,4.21,,"Apr 27, 2021","Apr 05, 2021",3:2,"Jun 21, 1999","Jan 31, 2020","Oct 30, 2020",-7.71%,-2.60%,-1.60%,-36.07%,14.05B,37.67,-0.10%,8B,156M,-1.08B,-2.90,-32.10%,2.65B,7.08,7.94B,334.71,1.44,6.34,1.28B,925.12M,GPS,9427,,,,,,,,,,
1.03,,,134.71,73.02,124.55,120.65,1.3M,1.29M,133M,132.24M,0.50%,91.04%,2.67M,1.94,2.28%,2.01%,2.82M,2.48,2.08%,2.24,1.84%,1.91,21.11%,"Apr 20, 2021","Apr 05, 2021",2:1,"Jun 20, 2005","Dec 30, 2020","Dec 30, 2020",15.16%,22.34%,9.81%,23.69%,9.44B,70.43,55.90%,3.72B,2.47B,1.42B,10.47,128.90%,1.16B,8.71,4.66B,67.55,1.72,50.82,2B,1.33B,DGX,9452,,,,,,,,,,
0.96,,,248.69,124.54,240.04,221.08,1.16M,1.51M,375.79M,332.82M,7.43%,74.39%,2.3M,2,0.69%,0.61%,2.82M,2.52,1.04%,2.36,0.96%,1.14,56.07%,"Apr 29, 2021","Mar 29, 2021",2:1,"May 16, 2004","Dec 30, 2020","Dec 30, 2020",11.14%,20.51%,5.70%,12.35%,14.35B,38.22,3.20%,9.16B,3.76B,1.6B,4.20,-21.70%,3.02B,8.04,14.42B,110.25,1.93,34.79,3.28B,2.78B,SYK,9454,,,,,,,,,,
0.58,,,168.24,65.56,157.14,141.63,772.78k,758.47k,132.51M,132.3M,0.18%,92.07%,1.09M,1.36,0.93%,0.82%,1.26M,1.48,0.90%,1.36,0.85%,0.84,30.84%,"Dec 02, 2020","Feb 25, 2021",3:1,"Mar 10, 1999","Dec 30, 2020","Dec 30, 2020",12.03%,18.36%,4.99%,10.10%,4.86B,36.63,-0.90%,1.28B,1.29B,588M,4.38,-18.80%,1.2B,9.03,3.69B,61.18,2.17,45.45,1.07B,595.46M,VMC,9476,,,,,,,,,,
1.55,,,100.84,33.71,93.5,81.05,1.62M,1.33M,333.92M,259.18M,23.51%,71.68%,3.34M,1.99,1.31%,1.00%,3.81M,4.2,4.19%,4.20,4.42%,4.47,118.31%,"Dec 06, 2020","Nov 26, 2020",,,"Dec 30, 2020","Dec 30, 2020",5.12%,7.71%,4.06%,17.47%,27.75B,82.87,-3.00%,3.39B,3.55B,1.42B,4.24,39.80%,2.46B,7.38,17.18B,211.98,2.12,23.87,,,LYB,9481,,,,,,,,,,
1.56,,,34.7,11.1,31.25,25.36,4.87M,4.46M,712.76M,709.5M,0.32%,81.73%,10.37M,2.1,1.62%,1.45%,7.37M,1.08,3.13%,1.08,3.25%,2.96,59.02%,"Jan 14, 2021","Dec 29, 2020",3:2,"Jul 16, 2000","Dec 30, 2020","Dec 30, 2020",21.90%,27.58%,0.76%,6.44%,6.51B,9.11,-5.90%,6.51B,,1.32B,1.83,-17.70%,3.71B,5.2,16.47B,,,29.46,,,FITB,9492,,,,,,,,,,
1.49,,,23.3,8.41,21.94,20.88,9.22M,8.71M,1.21B,1.21B,0.15%,88.29%,20.72M,2.22,1.92%,1.71%,24.58M,1.64,7.24%,1.58,7.10%,6.57,831.58%,"Mar 28, 2021","Mar 10, 2021",10000:8152,"Jan 02, 2012","Dec 30, 2019","Sep 29, 2020",2.83%,32.05%,3.42%,0.11%,7.73B,6.38,-3.30%,4.7B,4.2B,231M,0.18,39.80%,70M,0.06,22.38B,150.24,0.75,9.92,3.37B,649.12M,WMB,9505,,,,,,,,,,
1.2,,,12.15,3.96,10.65,8.48,76.55M,51.49M,3.91B,3.9B,0.19%,52.10%,76.07M,0.82,2.15%,1.91%,97.29M,,,0.15,1.31%,5.81,,"Mar 01, 2020","Jan 28, 2020",1748175:1000000,"Aug 02, 2000","Dec 30, 2020","Dec 30, 2020",-1.01%,-1.97%,-0.60%,-3.99%,127.14B,32.00,-9.50%,6.12B,4.81B,-1.28B,-0.32,,30.75B,7.73,163B,529.03,1.20,7.71,24.27B,4.24B,F,9507,,,,,,,,,,
1.81,,,63.73,10.1,49.43,35.06,14.34M,12.28M,564.98M,550.85M,4.15%,91.45%,88.16M,5.09,16.25%,14.28%,117.92M,0.96,1.53%,,,1.77,44.65%,"Mar 31, 2021","Mar 11, 2021",,,"Dec 30, 2019","Sep 29, 2020",5.22%,15.57%,6.65%,15.51%,25.93B,42.16,-8.70%,10.59B,4.44B,1.32B,,-2.40%,3.09B,5,21.49B,139.18,1.70,,2.11B,14.67B,VIAC,9557,,,,,,,,,,
0.98,,,335.21,106.14,301.0,248.45,1.7M,2.41M,314.42M,281.23M,0.24%,81.16%,2.22M,1.37,0.79%,0.71%,2.17M,3.04,0.92%,3.04,1.01%,1.96,34.98%,"Feb 07, 2021","Dec 29, 2020",2:1,"Dec 03, 2007","Oct 31, 2020","Oct 31, 2020",7.75%,12.81%,3.84%,22.59%,35.51B,113.28,-1.70%,8.96B,5.45B,2.75B,8.69,5.10%,6.83B,21.79,46.39B,358.40,2.31,41.25,7.48B,2.32B,DE,9576,,,,,,,,,,
1.67,,,89.56,38.62,81.46,73.02,2.07M,2.55M,396.4M,397.76M,0.20%,57.52%,4.31M,2.26,1.09%,1.09%,4.38M,4.6,5.47%,4.40,5.37%,4.01,,"Mar 10, 2021","Feb 11, 2021",,,"Dec 30, 2020","Dec 30, 2020",-0.76%,3.85%,0.13%,-0.57%,49.34B,124.65,-24.80%,16.16B,2.5B,-374M,-0.99,-27.40%,25.42B,63.73,35.34B,51.81,1.05,169.07,,,PRU,9582,,,,,,,,,,
0.75,,,220.78,142.01,183.82,182.08,1.28M,1.08M,210.11M,208.16M,0.50%,82.49%,1.75M,1.32,0.84%,0.83%,1.56M,4.08,2.16%,3.00,1.59%,1.75,65.51%,"Dec 03, 2020","Nov 18, 2020",10000:9448,"May 10, 2009","Dec 31, 2020","Dec 31, 2020",6.15%,11.12%,3.36%,4.99%,18.19B,85.02,-3.60%,5.34B,3.06B,1.12B,7.35,-50.90%,1.28B,6.09,7.65B,36.72,1.96,103.41,2.79B,1.89B,LHX,9622,,,,,,,,,,
1.32,,,164.4,79.08,154.82,133.17,2.6M,2.98M,368.89M,367.59M,0.32%,94.55%,29.83M,10.96,8.10%,8.07%,28.26M,2.76,1.68%,2.55,1.61%,2.12,65.78%,"Dec 14, 2020","Feb 24, 2021",2:1,"Mar 15, 2000","Oct 30, 2020","Jan 29, 2021",23.99%,30.12%,5.15%,11.82%,5.86B,15.88,19.60%,3.69B,2.57B,1.41B,3.77,90.60%,1.05B,2.84,5.33B,44.11,1.57,32.77,2.09B,1.71B,ADI,9637,,,,,,,,,,
2.24,,,64.83,26.06,59.24,49.13,2.09M,2.16M,307.08M,277.88M,10.88%,85.69%,7.11M,3.77,3.49%,2.31%,7M,1,1.57%,1.00,1.65%,1.92,,"Dec 29, 2020","Dec 13, 2020",3:1,"May 31, 2006","Dec 30, 2020","Dec 30, 2020",-68.08%,-7.55%,-1.06%,-35.40%,4.54B,14.90,-21.00%,3.61B,1.78B,-3.09B,-10.15,,1.74B,5.7,9.08B,143.25,1.90,17.59,1.33B,-1.01B,HES,9640,,,,,,,,,,
0.63,,,43.08,26.45,35.97,36.13,42.6M,27.5M,5.56B,5.55B,0.05%,69.90%,63.11M,1.81,1.14%,1.14%,65.27M,1.56,4.53%,1.52,4.40%,3.65,122.58%,"Mar 04, 2021","Jan 27, 2021",1054:1000,"Nov 16, 2020","Dec 30, 2020","Dec 30, 2020",22.95%,24.17%,,10.89%,41.91B,7.54,-7.90%,33.33B,15.09B,6.98B,1.71,,10.52B,1.89,63.15B,96.42,,11.74,,,PFE,9688,,,,,,,,,,
0.87,,,29.07,8.11,26.42,21.21,6.33M,6.03M,665.13M,663.23M,0.29%,102.48%,11.04M,1.55,2.22%,1.66%,12.67M,0.6,2.13%,0.57,2.04%,3.63,,"Feb 11, 2021","Jan 27, 2021",2:1,"Jun 01, 2000","Dec 30, 2019","Sep 29, 2020",-3.67%,22.69%,3.99%,-7.77%,9.53B,14.32,-3.00%,2.35B,3.24B,-353M,-0.53,,1.89B,2.84,21.35B,516.48,1.02,3.01,2.71B,518M,AES,9693,,,,,,,,,,
1.74,,,33.3,9.87,27.26,21.99,3.65M,2.31M,433.62M,389.32M,0.55%,90.25%,4.98M,1.24,1.15%,1.15%,7.34M,,,,,,4.17%,"Feb 24, 2020","Feb 05, 2020",1334:1000,"Oct 31, 2016","Dec 30, 2020","Dec 30, 2020",4.96%,15.78%,3.58%,5.16%,5.26B,12.09,-28.60%,1.42B,1.17B,209M,,-65.70%,1.61B,3.71,5.21B,145.74,2.21,,9M,794.63M,HWM,9700,,,,,,,,,,
1.58,,,81.08,42.1,74.64,68.9,2.63M,3.88M,353.16M,332.7M,0.48%,95.28%,4.94M,2.13,1.40%,1.40%,5.02M,2.08,2.89%,2.08,2.78%,2.40,32.91%,"Jan 18, 2021","Dec 30, 2020",2:1,"May 30, 2001","Dec 30, 2020","Dec 30, 2020",20.83%,28.55%,0.86%,9.56%,11.61B,32.92,-4.20%,11.62B,,2.26B,6.32,-4.80%,130.15B,369.98,42.02B,,,67.19,3.53B,,STT,9718,,,,,,,,,,
0.55,,,203.91,105.69,188.51,179.76,490.75k,627.71k,85.35M,84.95M,0.52%,94.21%,1.22M,2.46,1.61%,1.43%,935.78k,1.6,0.88%,1.54,0.85%,1.18,30.62%,"Mar 24, 2021","Feb 22, 2021",2:1,"Aug 24, 1998","Mar 30, 2020","Dec 30, 2020",14.13%,19.62%,6.29%,11.88%,3.06B,35.93,4.50%,1.32B,810.86M,431.86M,5.03,9.10%,252.5M,2.96,1.86B,48.08,2.33,45.31,701.02M,345.53M,STE,9740,,,,,,,,,,
1.63,,,76.18,17.8,43.26,39.66,15.92M,12.18M,311.84M,311.05M,0.23%,62.12%,16.37M,1.16,5.98%,5.25%,13.75M,,,,,,0.00%,"Jan 22, 2008","Jan 06, 2008",4:1,"May 20, 1996","Dec 30, 2020","Dec 30, 2020",-46.04%,-58.45%,-10.00%,-80.83%,15.35B,54.96,-68.70%,-2.54B,-6.49B,-7.07B,-25.30,,11.68B,37.46,33.89B,568.64,1.16,19.11,-4.09B,-8.15B,UAL,9772,,,,,,,,,,
1.07,,,162.42,73.39,141.12,128.19,875.37k,807.88k,142.99M,133.76M,0.92%,94.39%,1.73M,2.08,1.38%,1.21%,1.92M,1.6,1.00%,1.54,0.98%,1.02,28.26%,"Mar 09, 2021","Feb 23, 2021",,,"Dec 30, 2020","Dec 30, 2020",4.27%,6.43%,8.56%,69.86%,18.47B,129.51,9.20%,3.21B,1.65B,788.5M,5.45,28.40%,1.41B,9.88,4.62B,356.24,1.53,9.09,1.31B,472.3M,CDW,9829,,,,,,,,,,
1.25,,,91.49,31.13,81.66,61.54,17.56M,14.88M,1.12B,1.12B,0.19%,84.31%,21.04M,1,1.89%,1.88%,24.46M,,,,,,0.00%,,"May 06, 1996",2:1,"May 01, 2000","Sep 02, 2020","Dec 02, 2020",13.59%,15.45%,4.12%,7.86%,22.06B,19.84,12.20%,6.55B,9.25B,3B,2.65,63.50%,7.03B,6.29,7.21B,18.08,2.91,35.73,8.26B,-2.17B,MU,9839,,,,,,,,,,
0.84,,,115.45,60.2,107.86,100.31,2.02M,1.43M,235.19M,232.09M,1.34%,91.73%,3.07M,1.71,1.69%,1.31%,3.08M,,,,,,0.00%,,,2:1,"Jun 26, 2012","Jan 31, 2020","Oct 30, 2020",3.84%,8.11%,6.29%,14.71%,25.06B,105.77,7.50%,8.95B,2.71B,962.1M,4.05,29.00%,1.12B,4.76,9.78B,140.55,1.28,29.60,2.59B,1.29B,DLTR,9850,,,,,,,,,,
0.67,,,65.11,43.61,57.06,51.03,39.07M,23.36M,4.1B,4.06B,0.05%,66.41%,57.83M,1.14,1.42%,1.42%,68.24M,1.39,2.21%,1.32,2.14%,2.58,26.72%,"Feb 28, 2021","Feb 03, 2021",2:1,"Jul 30, 2000","Dec 25, 2020","Dec 25, 2020",26.84%,30.66%,10.31%,26.36%,77.87B,18.54,-1.10%,43.61B,36.12B,20.9B,4.94,-15.20%,23.89B,5.88,36.93B,45.57,1.91,19.95,35.38B,12.39B,INTC,9853,,,,,,,,,,
