endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-09-30,,,-389000000,85000000,-313000000,18000000,-96000000,-280000000,-280000000,,-66000000,,,,-73000000,193000000,473000000,289000000,-109000000,,-316000000,-313000000,7265,HST,quarterly
2020-06-30,,,-402000000,86000000,-352000000,25000000,-185000000,-378000000,-378000000,,-40000000,,,,-46000000,78000000,456000000,263000000,-24000000,,-356000000,-352000000,7265,HST,quarterly
2020-03-31,,,-40000000,90000000,-3000000,25000000,182000000,-7000000,-7000000,,-37000000,,,,-37000000,1056000000,1063000000,874000000,-33000000,,-3000000,-3000000,7265,HST,quarterly
2020-12-31,,,4430000000,,3385000000,6595000000,12167000000,0,5572000000,,,,,,1018000000,13640000000,8068000000,1473000000,-1142000000,,3412000000,3266000000,7271,MS,quarterly
2020-09-30,,,3487000000,1424000000.0,2717000000,6079000000,10344000000,0,4265000000,,,,,,736000000,11657000000,7392000000,1313000000,-778000000,,2751000000,2597000000,7271,MS,quarterly
2020-06-30,,,4355000000,1364000000.0,3196000000,6998000000,12109000000,0,5111000000,,,,,,1119000000,13414000000,8303000000,1305000000,-756000000,,3236000000,3047000000,7271,MS,quarterly
2020-03-31,,,2146000000,1368000000.0,1698000000,5229000000,8184000000,0,2955000000,,,,,,366000000,9487000000,6532000000,1303000000,-809000000,,1780000000,1590000000,7271,MS,quarterly
2020-12-31,,,576000000,1901000000,526000000,366000000,1698000000,788000000,788000000,40000000,-252000000,,,,50000000,3157000000,2369000000,1459000000,-212000000,,526000000,526000000,7273,EIX,quarterly
2020-09-30,,,-563000000,1901000000,-288000000,694000000,2301000000,1031000000,1031000000,86000000,-268000000,,,,-275000000,4644000000,3613000000,2343000000,-1594000000,,-288000000,-288000000,7273,EIX,quarterly
2020-06-30,,,322000000,2193000000,318000000,-27000000,1157000000,644000000,644000000,51000000,-259000000,,,,4000000,2987000000,2343000000,1830000000,-322000000,,318000000,318000000,7273,EIX,quarterly
