endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2019-12-31,9276000,,21679000,,17934000,49394000,79853000,21183000,21183000,,,,,,3745000,117232000,96049000,37379000,496000,,17934000,17934000,49405,LMAT
2018-12-31,8197000,,28444000,,22943000,45007000,73939000,20735000,20735000,,-2000.0,,,,5501000,105568000,84833000,31629000,7709000,,22943000,22943000,49405,LMAT
2017-12-31,6636000,,21106000,,17177000,42958000,70697000,21103000,21103000,,-21000.0,,,,3929000,100867000,79764000,30170000,3000,,17177000,17177000,49405,LMAT
2016-12-31,6141000,,16242000,,10590000,40459000,62936000,16336000,16336000,,-14000.0,,,,5652000,89151000,72815000,26215000,-94000,,10590000,10590000,49405,LMAT
2019-12-31,,,1457000000,20000000,1239000000,3686000000,4965000000,1408000000,1408000000,-129000000,-513000000,,,,218000000,64317000000,62909000000,59352000000,49000000,,1239000000,1151000000,49408,AEG
2018-12-31,,,751000000,22000000,710000000,3538000000,4689000000,1009000000,1009000000,142000000,-507000000,,,,40000000,17987000000,16978000000,13298000000,-258000000,,711000000,597000000,49408,AEG
2018-01-01,,,2534000000,20000000,2469000000,3658000000,5941000000,2189000000,2189000000,94000000,-435000000,,,,65000000,53867000000,51678000000,47926000000,345000000,,2469000000,2338000000,49408,AEG
2016-12-31,,,609000000,23000000,437000000,3560000000,4968000000,1390000000,1390000000,18000000,-347000000,,,,172000000,49791000000,48401000000,44823000000,-781000000,,437000000,304000000,49408,AEG
2020-12-31,560400000,,-495400000,1100000,-495100000,1079200000,2158100000,315800000,315800000,,-91300000,,,,-1300000,3316700000,3000900000,1158600000,-811200000,,-494100000,-495100000,49409,GDDY
2019-12-31,492600000,,126400000,10100000,137000000,1035700000,1961300000,223300000,223300000,,-92100000,,,,-12000000,2988100000,2764800000,1026800000,-96900000,,138400000,137000000,49409,GDDY
2018-12-31,434000000,,73000000,31800000,77100000,936600000,1766200000,161500000,161500000,,-98400000,,,,-9000000,2660100000,2498600000,893900000,-88500000,,82000000,77100000,49409,GDDY
2017-12-31,355800000,,106800000,60000000,136400000,809300000,1456400000,85500000,85500000,11700000.0,-83000000,,,,-18900000,2231900000,2146400000,775500000,21300000,14100000.0,125700000,136400000,49409,GDDY
2019-12-31,,,-1922870,,6794226,15628620,14678454,-1670201,-1670201,,-39814,,,,-455006,38502482,40172683,23824028,-252669,8262090,-1467864,6794226,49414,SSNT
2018-12-31,,,-1202785,,262432,14366526,13854850,-1161103,-1161103,,-41682,,,,-281212,36103818,37264921,22248968,-41682,1184005,-921573,262432,49414,SSNT
2017-12-31,,,907562,,-486469,12204197,13865440,939258,939258,,-31696,,,,1394031,34852028,33912770,20986588,-31696,1184005,-486469,-486469,49414,SSNT
2016-12-31,,,1212665,,3436399,10732444,12727242,1267343,1267343,,-64678,,,,-2223734,34121970,32854627,21394728,-54678,1184005,3436399,3436399,49414,SSNT
2020-03-31,47110000,,-72190000,,-72628000,22061000,0,-69171000,-69171000,,-4377000,,,,438000,0,69171000,0,-3019000,,-72628000,-72628000,49415,SIOX
